q1,q2,q3,q4,f1,f2,f3,f4,f5,target
0.67,0.65,-0.28,-0.22,451,277,280,365,727,zero
0.65,0.65,-0.31,-0.23,489,274,274,360,696,zero
0.64,0.65,-0.33,-0.24,465,269,285,370,725,zero
0.62,0.65,-0.34,-0.25,439,266,284,357,711,zero
0.61,0.66,-0.36,-0.26,428,264,281,374,701,zero
0.59,0.67,-0.36,-0.26,422,272,294,391,735,zero
0.57,0.68,-0.37,-0.26,443,300,354,442,758,zero
0.57,0.69,-0.38,-0.26,458,341,451,533,870,zero
0.57,0.68,-0.38,-0.27,505,380,551,685,970,zero
0.57,0.66,-0.39,-0.28,500,461,621,764,1027,zero
0.57,0.65,-0.39,-0.3,520,451,597,741,1000,zero
0.58,0.65,-0.38,-0.31,541,451,581,715,982,zero
0.58,0.65,-0.37,-0.32,520,458,595,780,1040,zero
0.59,0.64,-0.37,-0.33,488,456,578,784,1072,zero
0.6,0.63,-0.36,-0.35,507,473,560,750,1050,zero
0.6,0.62,-0.36,-0.35,521,472,561,769,1045,zero
0.6,0.62,-0.36,-0.36,531,488,531,764,1048,zero
0.59,0.63,-0.36,-0.35,548,480,525,716,1006,zero
0.59,0.63,-0.37,-0.35,564,483,535,712,1008,zero
0.58,0.63,-0.38,-0.35,661,511,567,697,1001,zero
0.58,0.63,-0.39,-0.34,646,504,564,670,979,zero
0.58,0.63,-0.4,-0.34,651,499,560,638,929,zero
0.58,0.62,-0.41,-0.33,642,500,545,619,904,zero
0.58,0.62,-0.41,-0.33,650,495,552,616,922,zero
0.58,0.61,-0.42,-0.33,633,491,540,606,932,zero
0.58,0.61,-0.43,-0.33,617,487,525,591,911,zero
0.57,0.61,-0.44,-0.33,552,490,514,584,901,zero
0.57,0.6,-0.45,-0.33,543,491,515,574,882,zero
0.56,0.6,-0.46,-0.33,521,501,521,574,896,zero
0.56,0.6,-0.46,-0.34,570,506,532,587,909,zero
0.57,0.59,-0.46,-0.34,620,518,537,606,901,zero
0.58,0.59,-0.45,-0.34,661,542,580,603,935,zero
0.59,0.59,-0.44,-0.34,610,587,612,624,917,zero
0.59,0.59,-0.43,-0.34,677,625,674,650,922,zero
0.6,0.59,-0.42,-0.33,722,609,662,665,903,zero
0.62,0.59,-0.4,-0.33,790,608,668,674,924,zero
0.62,0.6,-0.38,-0.32,789,589,660,619,872,zero
0.63,0.62,-0.35,-0.3,764,556,611,565,898,zero
0.64,0.64,-0.33,-0.28,635,497,512,465,866,zero
0.64,0.65,-0.3,-0.27,578,450,458,428,843,zero
0.65,0.66,-0.27,-0.25,525,378,404,388,829,zero
0.66,0.67,-0.25,-0.24,469,302,345,337,835,zero
